taxa,functional,bio,family
Acacia,tree,Lower forest limit,Fabaceae
Acalypha,tree,Lower forest limit,Euphorbiaceae
Acanthus,herb,Forest belt,Acanthaceae
Alchemilla,tree,Afroalpine,Rosaceae
Alchornea,tree,Lower forest limit,Euphorbiaceae
Allophylus,tree,Lower forest limit,Sapindaceae
Aloe,tree,Lower forest limit,Aloaceae
Anthospermum,shrub,Ericaceous belt,Rubiaceae
Anthyllis,shrub,Upper forest limit,Fabaceae
Apiaceae,herb,Ericaceous belt,Apiaceae
Artemisia,shrub,Afroalpine,Asteraceae
Asphodellus,tree,Lower forest limit,Xanthorrhoeaceae
Aster,herb,Aster,Asteraceae
Asteraceae,herb,Afroalpine,Asteraceae
Asteroideae,shrub,Afroalpine,Asteraceae
Blepharis,herb,Lower forest limit,Acanthaceae
Botryococcus,algae,Botryococcus,Botryococcaceae
Brassicaceae,herb,Afroalpine,Brassicaceae
Brucea,herb,Upper forest limit,Simaroubaceae
Buxus,shrub,Forest belt,Buxaceae
Callytriche,hydrophyte,Afroalpine,Plantaginaceae
Capparidaceae,tree,Lower forest limit,Capparidaceae
Carduus,shrub,Afroalpine,Asteraceae
Caryophylaceae,herb,Afroalpine,Caryophylaceae
Cassia,tree,Lower forest limit,Fabaceae
Celastraceae,tree,Forest belt,Celastraceae
Celtis,tree,Forest belt,Cannabaceae
Cerastium,shrub,Ericaceous belt,Caryophyllaceae
Cerealia,shrub,Cerealia,Poaceae
Chenopodiaceae,tree,Afroalpine,Chenopodiaceae
Chorcorus,shrub,Chorcorus,Malvaceae
Cichoroideae,herb,Afroalpine,Asteraceae
Clematis,tree,Forest belt,Ranunculaceae
Combretum,tree,Lower forest limit,Combretaceae
Commiphora,tree,Lower forest limit,Burseraceae
Cussonia,tree,Lower forest limit,Araliaceae
Cyperaceae,hydrophyte,Afroalpine,Cyperaceae
Dobera,tree,Lower forest limit,Salvadoraceae
Dodonaea,tree,Forest belt,Sapindaceae
Ekebergia,tree,Forest belt,Meliaceae
Ephedra,tree,Forest belt,Ephedraceae
Erica,tree,Ericaceous belt,Ericaceae
Euclea,tree,Upper forest limit,Ebenaceae
Euphorbia,tree,Lower forest limit,Euphorbiaceae
Euphorbiacea,tree,Lower forest limit,Euphorbiaceae
Ficus,tree,Forest belt,Moraceae
Galium,herb,Afroalpine,Rubiaceae
Hagenia,tree,Upper forest limit,Rosaceae
Heliotropium,herb,Lower forest limit,Boraginaceae
Hypericum,tree,Ericaceous belt,Hypericaceae
Hypoestes,tree,Forest belt,Acanthaceae
Ilex,tree,Forest belt,Aquifoliaceae
Indigofera,herb,Lower forest limit,Fabaceae
Iridaceae,tree,Upper forest limit,Iridaceae
Juniperus,tree,Upper forest limit,Cupressaceae
Justicia,herb,Lower forest limit,Acanthaceae
Kohautia,herb,Lower forest limit,Rubiaceae
Lamiaceae,herb,Lower forest limit,Lamiaceae
Lannea,tree,Lower forest limit,Anacardiaceae
Leguminosae,tree,Lower forest limit,Leguminosae/Fabaceae
Macaranga,tree,Lower forest limit,Euphorbiaceae
Maytenus,tree,Forest belt,Celastraceae
Melastomataceae,tree,melastomataceae,Melastomataceae
Monoletes,fern,Forest belt,Polypodiaceae
Myrica,tree,Forest belt,Myricaceae
Myrsine,tree,Upper forest limit,Primulaceae
Olea,tree,Lower forest limit,Oleaceae
Phoenix,tree,Lower forest limit,Arecaceae
Phyllantus,tree,Lower forest limit,Phyllanthaceae
Plantago,shrub,Upper forest limit,Plantaginaceae
Poaceae,herb,Poaceae,Poaceae
Podocarpus,tree,Lower forest limit,Podocarpaceae
Polygonum,herb,Afroalpine,Polygonaceae
Psydrax,shrub,Forest belt,Rubiaceae
Ranunculus,hygrophyte,Afroalpine,Ranunculaceae
Rapanea,tree,Upper forest limit,Primulaceae
Rhus,tree,Lower forest limit,Anacardiaceae
Ricinus,herb,Lower forest limit,Euphorbiaceae
Rosa,tree,Upper forest limit,Rosaceae
Rubiaceae,herb,Lower forest limit,Rubiaceae
Rumex,herb,ruderal,Polygonaceae
Sapotaceae,herb,Upper forest limit,Sapotaceae
Satureja,shrub,Afroalpine,Lamiaceae
Schefflera,tree,Upper forest limit,Araliaceae
Securinega,tree,Lower forest limit,Phyllanthaceae
Senecio,herb,Afroalpine,Asteraceae
Solanum,shrub,Upper forest limit,Solanaceae
Swertia,shrub,Afroalpine,Gentianaceae
Tamarindus,tree,Lower forest limit,Fabaceae
Teclea,tree,Lower forest limit,Rutaceae
Thalictrum,hygrophyte,Upper forest limit,Ranunculaceae
Tribulus,herb,Afroalpine,Zygophyllaceae
Triletes,fern,Forest belt,Polypodeaceae
Typha,hydrophyte,Upper forest limit,Typhaceae
Urticaceae,herb,Upper forest limit,Urticaceae
Vernonia,herb,Afroalpine,Asteraceae
Zanthoxylum,tree,Lower forest limit,Rutaceae
Ziziphus,herb,Forest belt,Rhamnaceae
